operacao,ordenacao,entrada,estrategia,media_ns,desvio_padrao_ns,execucoes
EXCLUSAO,CRESCENTE,ALEATORIA,BINARIA,353822838,7603513,9037,100
EXCLUSAO,CRESCENTE,ALEATORIA,LINEAR,903782547,31182068,5781,100
EXCLUSAO,CRESCENTE,CRESCENTE,BINARIA,326923294,10457333,0281,100
EXCLUSAO,CRESCENTE,CRESCENTE,LINEAR,1429579603,1127098528,9283,100
EXCLUSAO,CRESCENTE,DECRESCENTE,BINARIA,371970154,8078465,9662,100
EXCLUSAO,CRESCENTE,DECRESCENTE,LINEAR,367473263,5426097,3755,100
EXCLUSAO,DECRESCENTE,ALEATORIA,BINARIA,377467767,9084357,9719,100
EXCLUSAO,DECRESCENTE,ALEATORIA,LINEAR,8041552070,111276562,5100,100
EXCLUSAO,DECRESCENTE,CRESCENTE,BINARIA,379239646,6652432,3383,100
EXCLUSAO,DECRESCENTE,CRESCENTE,LINEAR,371928059,6664259,3765,100
EXCLUSAO,DECRESCENTE,DECRESCENTE,BINARIA,345601012,7099793,6182,100
EXCLUSAO,DECRESCENTE,DECRESCENTE,LINEAR,15488843812,666084535,2605,100
INSERCAO,CRESCENTE,ALEATORIA,BINARIA,189528466,7491909,0583,100
INSERCAO,CRESCENTE,ALEATORIA,LINEAR,684122812,29145179,5067,100
INSERCAO,CRESCENTE,CRESCENTE,BINARIA,2709887,1073689,3432,100
INSERCAO,CRESCENTE,CRESCENTE,LINEAR,982496809,12183095,4365,100
INSERCAO,CRESCENTE,DECRESCENTE,BINARIA,381209535,7699324,6384,100
INSERCAO,CRESCENTE,DECRESCENTE,LINEAR,382888719,11596300,5711,100
INSERCAO,DECRESCENTE,ALEATORIA,BINARIA,178381264,5050904,9277,100
INSERCAO,DECRESCENTE,ALEATORIA,LINEAR,7573484182,64881568,4722,100
INSERCAO,DECRESCENTE,CRESCENTE,BINARIA,405975187,14852977,7816,100
INSERCAO,DECRESCENTE,CRESCENTE,LINEAR,394550682,10690871,2239,100
INSERCAO,DECRESCENTE,DECRESCENTE,BINARIA,5961112,245272,6562,100
INSERCAO,DECRESCENTE,DECRESCENTE,LINEAR,15003191604,536475511,8843,100
