execucao,operacao,ordenacao,entrada,estrategia,tempo_ns,seed
1,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,1000496100,1264031543
2,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,1016070300,1264032540
3,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,989326000,1264033537
4,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,984124000,1264034534
5,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,996508500,1264035531
6,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,999980100,1264036528
7,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,1008429700,1264037525
8,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,1002969900,1264038522
9,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,1029690200,1264039519
10,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,1024969100,1264040516
11,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,982455300,1264041513
12,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,976847500,1264042510
13,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,977206200,1264043507
14,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,981895100,1264044504
15,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,982196800,1264045501
16,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,1001083800,1264046498
17,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,1015311100,1264047495
18,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,1015459300,1264048492
19,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,992945400,1264049489
20,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,983241600,1264050486
21,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,986836500,1264051483
22,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,989297600,1264052480
23,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,997179500,1264053477
24,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,985599700,1264054474
25,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,976259100,1264055471
26,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,973876000,1264056468
27,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,978505400,1264057465
28,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,978792000,1264058462
29,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,978587900,1264059459
30,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,979150800,1264060456
31,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,974564300,1264061453
32,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,986998400,1264062450
33,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,973864800,1264063447
34,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,973238600,1264064444
35,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,970078400,1264065441
36,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,982781400,1264066438
37,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,975095200,1264067435
38,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,976781700,1264068432
39,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,977440600,1264069429
40,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,975990500,1264070426
41,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,973196600,1264071423
42,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,988087500,1264072420
43,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,997454400,1264073417
44,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,990703700,1264074414
45,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,985064800,1264075411
46,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,980344300,1264076408
47,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,973962300,1264077405
48,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,977171700,1264078402
49,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,973239700,1264079399
50,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,972673200,1264080396
51,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,978424500,1264081393
52,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,971047100,1264082390
53,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,993133700,1264083387
54,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,974168300,1264084384
55,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,973163500,1264085381
56,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,974918000,1264086378
57,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,978404400,1264087375
58,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,972384100,1264088372
59,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,984147100,1264089369
60,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,978535700,1264090366
61,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,980158300,1264091363
62,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,976842500,1264092360
63,INSERCAO,CRESCENTE,CRESCENTE,LINEAR,976828100,1264093357
